City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
461,Sao Joao Da Barra,BR,73.96,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
463,Pemangkat,ID,83.93,1.1667,108.9667,broken clouds,Hotel Duyung Permai 2
473,Port Hedland,AU,89.65,-20.3167,118.5667,clear sky,The Esplanade Hotel
475,Ambulu,ID,78.71,-8.345,113.6058,moderate rain,Hotel Ambulu Jember
478,Bonthe,SL,77.38,7.5264,-12.505,light rain,Bonthe Holiday Village
479,Koulikoro,ML,69.96,14.0,-7.75,broken clouds,
481,Kidal,ML,71.1,18.4411,1.4078,overcast clouds,
483,Chabahar,IR,75.18,25.2919,60.643,clear sky,هتل گدروشیا
484,Atar,MR,65.61,20.5169,-13.0499,clear sky,Oumou Elghoura
485,Yanagawa,JP,74.07,33.1667,130.4,broken clouds,YANAGAWA TACHIBANA-TEI OHANA
487,Galle,LK,79.65,6.0367,80.217,overcast clouds,Amangalla
488,Nhulunbuy,AU,81.21,-12.2333,136.7667,thunderstorm with rain,East Arnhem Real Estate
492,Hualmay,PE,68.07,-11.0964,-77.6139,overcast clouds,Hotel Villa Kitzia Huacho
493,Rio Grande,BR,68.34,-32.035,-52.0986,clear sky,Hotel Atlântico Rio Grande
494,Hambantota,LK,79.72,6.1241,81.1185,broken clouds,Bungalow 63
495,Tambura,SS,69.93,5.6,27.4667,broken clouds,Rikito Lodge
496,Vanimo,PG,84.27,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
497,Villanueva,HN,79.79,15.3167,-88.0,scattered clouds,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
501,Koforidua,GH,71.58,6.0941,-0.2591,broken clouds,Ajaria Royal Palace Hotel
508,Matara,LK,79.38,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
510,Mabaruma,GY,72.64,8.2,-59.7833,overcast clouds,Monty Brooms Guest House
511,Coahuayana,MX,73.22,18.7333,-103.6833,overcast clouds,El rranchito michuacan de ocampos
514,Pochutla,MX,75.81,15.7432,-96.4661,broken clouds,Hotel Posada San Jose
515,San Patricio,US,71.47,28.017,-97.5169,overcast clouds,"Motel 6 Sinton, TX"
516,Victoria,HK,85.96,22.2855,114.1577,scattered clouds,Mini Central
517,Zwedru,LR,70.65,6.0667,-8.1281,light rain,Elijah Worjloh
518,Khandbari,NP,65.34,27.3747,87.2039,clear sky,Sainik Hotel And Lodge
519,Calvinia,ZA,68.52,-31.4707,19.776,broken clouds,Die Lemoenhuis
521,Natal,BR,75.85,-5.795,-35.2094,few clouds,Villa Park Hotel | Natal
522,Santiago,CL,73.26,-33.4569,-70.6483,clear sky,Hotel Panamericano
524,Ilhabela,BR,72.95,-23.7781,-45.3581,broken clouds,Ilha Flat Hotel
528,Paso De Los Toros,UY,69.73,-32.8167,-56.5167,clear sky,Complejo Isabelino
529,Kiunga,PG,80.26,-6.1219,141.2906,overcast clouds,Airport Lodge Kiunga
531,Inyonga,TZ,65.08,-6.7167,32.0667,light rain,Eden Rock Lodge
534,Lorengau,PG,86.11,-2.0226,147.2712,scattered clouds,Lorengau Harbourside Hotel
535,Praia Da Vitoria,PT,68.25,38.7333,-27.0667,broken clouds,Hotel Branco I
536,Namibe,AO,70.48,-15.1961,12.1522,overcast clouds,Hotel Chik Chik Namibe
537,Kaeo,NZ,68.32,-35.1,173.7833,moderate rain,Bushido Lodge
539,Natalio,PY,66.63,-26.7167,-55.0833,broken clouds,Residencia Sánchez -escobar
541,Arinos,BR,70.52,-15.9169,-46.1056,light rain,casa do bruno
542,Latung,PH,82.15,5.5,120.8833,overcast clouds,
543,Labuhan,ID,85.71,-6.8844,112.2051,overcast clouds,DoubleFAG
544,Angoche,MZ,73.99,-16.2325,39.9086,scattered clouds,Guest House HESADA
545,Ribeira Brava,PT,66.83,32.65,-17.0667,few clouds,Hotel do Campo
548,Vila Franca Do Campo,PT,69.19,37.7167,-25.4333,light rain,Pestana Bahia Praia
552,Teluknaga,ID,89.64,-6.0989,106.6381,few clouds,Teluk Naga Seliong
555,Kadambur,IN,79.84,8.9833,77.8667,overcast clouds,
556,Manicore,BR,75.96,-5.8092,-61.3003,scattered clouds,Hotel Durval
557,Moree,AU,83.43,-29.4667,149.85,clear sky,Molika Springs Motel
559,Piranhas,BR,76.24,-16.4269,-51.8222,broken clouds,Planalto Hotel
562,Boffa,GN,71.51,10.1667,-14.0333,scattered clouds,Hôtel Niara Belly
564,Voh,NC,87.46,-20.9667,164.7,broken clouds,Le gîte du Koniambo
566,Sao Jose Da Coroa Grande,BR,77.09,-8.8978,-35.1478,light rain,Crôa Mares Hotel
568,Cochabamba,BO,65.95,-17.3895,-66.1568,broken clouds,Hotel Aranjuez Cochabamba
572,Tagusao,PH,85.44,9.1924,117.8141,overcast clouds,Caycay future beach resort
573,Kalangala,UG,65.55,-0.3089,32.225,light rain,Ssese Habitat Resort
574,Olinda,BR,80.33,-8.0089,-34.8553,scattered clouds,Flat Quatro Rodas Olinda
576,Baragua,CU,72.72,21.6967,-78.6328,broken clouds,Albergue baraguá
577,Trincomalee,LK,81.14,8.5711,81.2335,overcast clouds,Welcombe Hotel
578,Manggar,ID,86.16,-2.8833,108.2667,overcast clouds,Guest Hotel
586,Orocue,CO,73.76,4.7912,-71.3354,overcast clouds,Hotel Brisas de San Miguel
587,Puri,IN,73.92,19.8,85.85,scattered clouds,OYO 1577 Hotel Shree Hari Grand
589,Eyl,SO,73.67,7.9803,49.8164,overcast clouds,EYL AQUE SYSTEM
592,Saint-Pierre,RE,78.91,-21.3393,55.4781,clear sky,Alize Plage
593,Charters Towers,AU,75.9,-20.1,146.2667,overcast clouds,Cattleman's Rest Motor Inn
597,Oussouye,SN,68.09,12.485,-16.5469,clear sky,Auberge du Routard
598,Arraias,BR,67.68,-12.9288,-46.9437,overcast clouds,Hotel Japão
